,Industry,Year,Contribution_by_Gdp,Growth_of_GDP,"0 - 9,999","10,000 - 14999","15,000 - 19999","20,000 - 24999","25,000 - 29999","30,000 - 49999","50,000 - 99999",100000+,TOTAL
97,Administrative And Support Service Activities,2015,1.0,1.5,108,193,535,807,"1,639","1,233",744,183,"5,442"
98,Public Administration And Defence; Compulsory Social Security,2015,4.3,5.5,"2,653","2,335","30,429","48,922","34,930","75,968","30,022","6,021","231,280"
99,Education,2015,4.9,4.9,"2,116","7,122","21,877","77,983","140,233","138,169","120,910","16,196","524,606"
100,Human Health And Social Work Activities,2015,1.7,5.8,-,824,"11,104","23,858","44,428","30,375","13,348","3,678","127,615"
101,"Arts, Entertainment And Recreation",2015,0.1,1.5,-,45,832,"1,403","2,209","1,153",852,534,"7,028"
102,Other Service Activities,2015,0.6,6.0,-,504,"1,583","4,097","10,284","10,267","5,760",659,"33,154"
103,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2015,0.5,1.5,-,312,899,"16,037","29,698","38,699","28,711",-,"114,356"
104,Activities Of Extraterritorial Organizations And Bodies,2015,-2.6,,-,-,-,216,105,320,332,244,"1,217"
105,"Agriculture, Forestry And Fishing",2016,31.1,4.7,"10,991","17,833","85,016","85,634","48,156","53,091","33,093","2,932","336,746"
106,Mining And Quarrying,2016,0.8,9.5,260,250,"4,517","1,784","2,807","3,189","2,389",-,"15,196"
107,Manufacturing,2016,9.3,3.1,"1,076","1,297","13,891","49,645","62,759","85,212","80,974","5,983","300,837"
108,"Electricity, Gas, Steam And Air Conditioning Supply",2016,1.9,9.5,-,82,155,"3,844","1,024","2,170","8,834","1,197","17,306"
109,"Water Supply; Sewerage, Waste Management And Remediation Activities",2016,0.7,5.8,-,-,-,"3,800","3,101","3,745","1,284",772,"12,702"
110,Construction,2016,5.1,9.9,-,"5,176","4,231","31,151","17,369","53,561","46,783","4,698","162,969"
111,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2016,7.2,3.7,504,"1,856","4,699","28,068","39,599","82,229","72,649","10,260","239,864"
112,Transportation And Storage,2016,8.1,6.5,"1,003",571,928,"10,451","19,665","29,996","21,508","1,490","85,612"
113,Accommodation And Food Service Activities,2016,0.7,13.3,231,152,592,"9,378","15,688","28,461","20,276","2,585","77,363"
114,Information And Communication,2016,1.5,9.9,895,917,"1,408","6,689","11,637","50,732","34,834","3,492","110,604"
115,Financial And Insurance Activities,2016,7.1,6.9,-,-,"1,915","8,038","3,919","10,074","40,121","11,606","75,673"
116,Real Estate Activities,2016,7.6,8.8,237,326,194,358,692,"1,183",980,126,"4,096"
117,"Professional, Scientific And Technical Activities",2016,0.9,5.1,"2,813","4,815","1,009","6,485","18,797","19,617","15,481","1,637","70,654"
118,Administrative And Support Service Activities,2016,1.0,3.9,108,193,535,807,"1,639","1,233",744,183,"5,442"
119,Public Administration And Defence; Compulsory Social Security,2016,3.9,5.6,"2,653","2,335","30,429","48,922","34,930","75,968","30,022","6,021","231,280"
120,Education,2016,4.4,5.3,"2,116","7,122","21,877","77,983","140,233","138,169","120,910","16,196","524,606"
121,Human Health And Social Work Activities,2016,1.7,4.8,-,824,"11,104","23,858","44,428","30,375","13,348","3,678","127,615"
122,"Arts, Entertainment And Recreation",2016,0.1,5.4,-,45,832,"1,403","2,209","1,153",852,534,"7,028"
123,Other Service Activities,2016,0.6,6.0,-,504,"1,583","4,097","10,284","10,267","5,760",659,"33,154"
124,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2016,0.5,1.4,-,312,899,"16,037","29,698","38,699","28,711",-,"114,356"
125,Activities Of Extraterritorial Organizations And Bodies,2016,-2.8,,-,-,-,216,105,320,332,244,"1,217"
126,"Agriculture, Forestry And Fishing",2017,34.8,1.9,7225,13137,44255,28262,49063,133384,53516,3263,332105
127,Mining And Quarrying,2017,0.8,4.5,258,248,3882,1770,2785,3164,2971,-,15079
128,Manufacturing,2017,8.0,0.5,1085,1308,9808,27820,44289,88576,124458,6034,303378
129,"Electricity, Gas, Steam And Air Conditioning Supply",2017,1.8,8.9,-,90,170,4206,1120,2374,9665,1310,18934
130,"Water Supply; Sewerage, Waste Management And Remediation Activities",2017,0.7,2.6,-,-,-,4356,3555,4293,1472,885,14562
131,Construction,2017,5.6,8.5,-,3133,4359,27638,17896,66198,43845,4840,167910
132,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2017,7.4,5.7,431,1381,4910,13893,35886,90247,93506,10504,250758
133,Transportation And Storage,2017,7.5,7.2,710,586,953,10730,9189,30796,33402,1530,87895
134,Accommodation And Food Service Activities,2017,0.7,14.3,238,157,610,9671,16178,29350,21279,2296,79780
135,Information And Communication,2017,1.3,11.0,748,971,1491,7084,13327,52922,36891,3699,117133
136,Financial And Insurance Activities,2017,7.1,2.8,-,-,1891,8036,2869,9946,44504,7466,74712
137,Real Estate Activities,2017,0.8,6.1,244,336,200,369,713,1219,1010,130,4220
138,"Professional, Scientific And Technical Activities",2017,0.9,4.5,1739,3511,1054,6776,15640,20497,22895,1710,73823
139,Administrative And Support Service Activities,2017,3.6,3.0,114,204,566,853,1733,1304,787,193,5754
140,Public Administration And Defence; Compulsory Social Security,2017,4.0,6.5,1510,1850,24476,26544,15634,124197,91552,6831,292594
141,Education,2017,1.5,5.1,1231,4532,14966,3435,58961,137885,282385,56221,559617
142,Human Health And Social Work Activities,2017,0.1,4.3,-,897,8090,11333,57963,47080,11390,6005,142759
143,"Arts, Entertainment And Recreation",2017,0.6,7.0,-,46,844,1423,2241,1170,864,542,7129
144,Other Service Activities,2017,0.4,7.0,-,527,1056,4287,10758,10743,6627,693,34691
145,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2017,-2.0,1.6,-,315,907,9534,22437,39039,43133,-,115365
146,Activities Of Extraterritorial Organizations And Bodies,2017,8.3,4.8,-,-,-,226,110,336,348,256,1276
147,"Agriculture, Forestry And Fishing",2018,34.2,6.4,"11,174","4,391","11,212","17,399","25,218","167,268","97,014","2,931","336,607"
148,Mining And Quarrying,2018,0.8,2.8,263,253,"4,567","1,804","2,838","3,224","2,415",-,"15,364"
149,Manufacturing,2018,7.7,4.2,"1,100","1,326","9,203","12,758","73,061","108,127","95,899","6,117","307,592"
150,"Electricity, Gas, Steam And Air Conditioning Supply",2018,1.8,10.5,-,91,171,"4,245","1,131","2,396","9,756","1,322","19,112"
151,"Water Supply; Sewerage, Waste Management And Remediation Activities",2018,0.7,1.6,-,-,-,"4,493","3,667","4,428","1,518",913,"15,020"
152,Construction,2018,5.4,6.6,-,"3,449","4,454","20,007","18,285","45,173","75,251","4,946","171,565"
153,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,2018,7.4,6.3,547,"2,203","5,100","14,473","7,020","48,082","172,093","10,909","260,426"
154,Transportation And Storage,2018,8.0,8.8,"1,062",605,983,"11,066","20,822","31,760","22,773","1,578","90,647"
155,Accommodation And Food Service Activities,2018,0.7,16.6,244,160,624,"9,886","16,538","30,002","21,752","2,347","81,553"
156,Information And Communication,2018,1.3,11.4,998,"1,022","1,569","7,456","14,030","43,493","50,829","3,893","123,290"
157,Financial And Insurance Activities,2018,6.0,5.6,-,-,"1,914","6,032","3,916","10,067","20,888","32,803","75,621"
158,Real Estate Activities,2018,7.0,4.1,251,345,205,379,733,"1,252","1,037",133,"4,336"
159,"Professional, Scientific And Technical Activities",2018,0.8,5.4,"3,050","3,221","1,094","7,031","20,381","21,270","18,786","1,775","76,608"
160,Administrative And Support Service Activities,2018,0.9,6.4,120,215,596,900,"1,827","1,375",829,204,"6,067"
161,Public Administration And Defence; Compulsory Social Security,2018,3.5,6.1,"2,053",978,"24,814","11,402","29,555","178,901","38,295","9,011","295,009"
162,Education,2018,4.3,5.8,"2,327","3,331","15,555","12,772","25,193","265,031","204,814","47,808","576,831"
163,Human Health And Social Work Activities,2018,1.5,4.5,-,960,"6,108","17,810","36,788","65,229","17,572","4,287","148,755"
164,"Arts, Entertainment And Recreation",2018,0.1,6.4,-,46,857,"1,446","2,277","1,188",878,550,"7,243"
165,Other Service Activities,2018,0.6,6.7,-,552,"1,735","4,490","11,270","11,251","6,312",722,"36,332"
166,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2018,0.4,1.6,,316,911,"17,245","15,082","53,200","29,083",,
167,Activities Of Extraterritorial Organizations And Bodies,2018,-1.9,1.1,,,,,,,,,"115,836"
