,Industry,Year,Contribution_to_Gdp,Growth_of_GDP,Wage_bracket_0_to_9999,Wage_bracket_10000_to_14999,Wage_bracket_15000_to_19999,Wage_bracket_20000_to_24999,Wage_bracket_25000_to_29999,Wage_bracket_30000_to_49999,Wage_bracket_50000_to_99999,Wage_bracket_100000_plus,TOTAL
155,Accommodation And Food Service Activities,2018,0.7,16.6,244,160,624,9886,16538,30002,21752,2347,81553
156,Information And Communication,2018,1.3,11.4,998,1022,1569,7456,14030,43493,50829,3893,123290
157,Financial And Insurance Activities,2018,6.0,5.6,,,1914,6032,3916,10067,20888,32803,75621
158,Real Estate Activities,2018,7.0,4.1,251,345,205,379,733,1252,1037,133,4336
159,"Professional, Scientific And Technical Activities",2018,0.8,5.4,3050,3221,1094,7031,20381,21270,18786,1775,76608
160,Administrative And Support Service Activities,2018,0.9,6.4,120,215,596,900,1827,1375,829,204,6067
161,Public Administration And Defence; Compulsory Social Security,2018,3.5,6.1,2053,978,24814,11402,29555,178901,38295,9011,295009
162,Education,2018,4.3,5.8,2327,3331,15555,12772,25193,265031,204814,47808,576831
163,Human Health And Social Work Activities,2018,1.5,4.5,,960,6108,17810,36788,65229,17572,4287,148755
164,"Arts, Entertainment And Recreation",2018,0.1,6.4,,46,857,1446,2277,1188,878,550,7243
165,Other Service Activities,2018,0.6,6.7,,552,1735,4490,11270,11251,6312,722,36332
166,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2018,0.4,1.6,nan,316,911,17245,15082,53200,29083,nan,nan
167,Activities Of Extraterritorial Organizations And Bodies,2018,-1.9,1.1,nan,nan,nan,nan,nan,nan,nan,nan,115836
